R55CHEPSUM,,CHEP Summarization Report,,,,11/13/2023,12:24:44,,,,,,
VF075001,,,,,,Page -,1,,,,,,
,,,,,,,,,,,,,.
,,,,,,,Customer CHEP,,,,,,
Branch Plant,Legacy Order Number,JDE Order Number,JDE BOL#,Customer PO#,Pallet Type,Description,Number,Number Of Pallets,Actual Ship Date,Receipt Date,,,
         010,1011331,11828968,15878637,445456,CBP,CHEP BLOCK (MARK 55),6100134492,21,10/5/2023,,,,
         010,1011368,11829294,15877830,4610353557,CBP,CHEP BLOCK (MARK 55),153096,21,10/2/2023,,,,
         010,1011386,11829765,15878749,447401,CBP,CHEP BLOCK (MARK 55),6100134492,19,10/5/2023,,,,
         010,1011391,11829787,15878410,314397,CBP,CHEP BLOCK (MARK 55),6100100580,17,10/4/2023,,,,
         010,1011408,11830260,15878263,447925,CBP,CHEP BLOCK (MARK 55),6100134492,19,10/3/2023,,,,
         010,1011418,11830429,15878356,10298,CBP,CHEP BLOCK (MARK 55),104032,3,10/4/2023,,,,
         010,1011413,11830479,15877751,864057,CBP,CHEP BLOCK (MARK 55),4000252179,16,10/2/2023,,,,
         010,1011414,11830480,15877749,864058,CBP,CHEP BLOCK (MARK 55),4000252179,3,10/2/2023,,,,
         010,1011426,11830501,15878357,73457,CBP,CHEP BLOCK (MARK 55),104032,18,10/4/2023,,,,
         010,1011456,11830923,15877618,81177,CBP,CHEP BLOCK (MARK 55),6100762507,13,10/2/2023,,,,
         010,1011458,11830925,15877633,81178,CBP,CHEP BLOCK (MARK 55),6100762507,6,10/2/2023,,,,
         010,1011459,11830929,15879078,81179,CBP,CHEP BLOCK (MARK 55),6100762507,4,10/5/2023,,,,
         010,1011454,11830950,15877733,896952,CBP,CHEP BLOCK (MARK 55),6100690577,19,10/2/2023,,,,
         010,1011409,11831078,15878660,447923,CBP,CHEP BLOCK (MARK 55),6100134492,19,10/5/2023,,,,
         010,1011547,11831659,15879750,105354,CBP,CHEP BLOCK (MARK 55),6100194471,7,10/9/2023,,,,
         010,1011555,11831760,15878785,30609,CBP,CHEP BLOCK (MARK 55),4000231357,21,10/5/2023,,,,
         010,1011556,11831813,15877567,1030490080,CBP,CHEP BLOCK (MARK 55),4000270202,4,10/2/2023,,,,
         010,1011557,11831972,15878464,41X256143,CBP,CHEP BLOCK (MARK 55),4000393638,1,10/4/2023,,,,
         010,1011558,11831973,15878465,41X256143,CBP,CHEP BLOCK (MARK 55),4000393638,11,10/4/2023,,,,
         010,1011562,11832039,15879101,10299,CBP,CHEP BLOCK (MARK 55),104032,3,10/5/2023,,,,
         010,1011563,11832043,15879102,73458,CBP,CHEP BLOCK (MARK 55),104032,19,10/5/2023,,,,
         010,1011564,11832101,15877655,679679,CBP,CHEP BLOCK (MARK 55),105889,22,10/2/2023,,,,
         010,1011567,11832256,15877360,25741,CBP,CHEP BLOCK (MARK 55),6100150071,21,9/29/2023,,,,
         010,1011568,11832257,15877848,25740,CBP,CHEP BLOCK (MARK 55),6100150071,19,10/2/2023,,,,
         010,1011577,11832459,15877963,5284489,CBP,CHEP BLOCK (MARK 55),6100762400,1,10/3/2023,,,,
         010,1011582,11832460,15878042,20049022,CBP,CHEP BLOCK (MARK 55),202756,19,10/3/2023,,,,
         010,1011579,11832476,15878082,7345568S,CBP,CHEP BLOCK (MARK 55),6100398536,21,10/3/2023,,,,
         010,1011573,11832479,15878089,863944,CBP,CHEP BLOCK (MARK 55),6100176687,14,10/3/2023,,,,
         010,1011578,11832484,15877964,5284489,CBP,CHEP BLOCK (MARK 55),6100762400,21,10/3/2023,,,,
         010,1011590,11832526,15878912,108213,CBP,CHEP BLOCK (MARK 55),6100762614,21,10/5/2023,,,,
         010,1011591,11832551,15882861,848651,CBP,CHEP BLOCK (MARK 55),4000098202,23,10/20/2023,,,,
         010,1011592,11832571,15882862,848656,CBP,CHEP BLOCK (MARK 55),4000098202,1,10/20/2023,,,,
         010,1011570,11832592,15877856,872509,CBP,CHEP BLOCK (MARK 55),4000252179,12,10/2/2023,,,,
         010,1011571,11832593,15877857,872510,CBP,CHEP BLOCK (MARK 55),400001060,7,10/2/2023,,,,
         010,1011583,11832595,15880592,873525,CBP,CHEP BLOCK (MARK 55),4000252179,12,10/12/2023,,,,
         010,1011584,11832596,15880593,873526,CBP,CHEP BLOCK (MARK 55),4000252179,8,10/12/2023,,,,
         010,1011585,11832597,15878572,873539,CBP,CHEP BLOCK (MARK 55),188317,18,10/4/2023,,,,
         010,1011586,11832598,15878573,873540,CBP,CHEP BLOCK (MARK 55),188317,2,10/4/2023,,,,
         010,1011598,11832599,15878908,873887,CBP,CHEP BLOCK (MARK 55),6100151533,18,10/5/2023,,,,
         010,1011599,11832601,15878909,873889,CBP,CHEP BLOCK (MARK 55),6100151533,1,10/5/2023,,,,
         010,1011604,11832633,15878136,455796,CBP,CHEP BLOCK (MARK 55),6100104737,5,10/3/2023,,,,
         010,1011593,11832645,15877689,1829962795,CBP,CHEP BLOCK (MARK 55),6100634870,7,10/2/2023,,,,
         010,1011594,11832646,15877852,2279356162,CBP,CHEP BLOCK (MARK 55),4000033486,7,10/2/2023,,,,
         010,1011595,11832648,15877853,6479129229,CBP,CHEP BLOCK (MARK 55),4000105206,7,10/2/2023,,,,
         010,1011596,11832649,15877854,7280470094,CBP,CHEP BLOCK (MARK 55),634772,8,10/2/2023,,,,
         010,1011597,11832650,15877828,9230350568,CBP,CHEP BLOCK (MARK 55),4000037374,7,10/2/2023,,,,
         010,1011602,11832657,15878417,180072,CBP,CHEP BLOCK (MARK 55),6100311665,20,10/4/2023,,,,
         010,1011606,11832670,15878018,863945,CBP,CHEP BLOCK (MARK 55),6100176687,14,10/3/2023,,,,
         010,1011626,11832790,15877796,28891,CBP,CHEP BLOCK (MARK 55),1538170,6,10/2/2023,,,,
         010,1011627,11832864,15878284,848993-001,CBP,CHEP BLOCK (MARK 55),6100263814,7,10/3/2023,,,,
         010,1011613,11832872,15879744,898159,CBP,CHEP BLOCK (MARK 55),6100690577,21,10/9/2023,,,,
