R55CHEPSUM,,CHEP Summarization Report,,,,11/30/2023,12:43:08,,,,,,
VF060001,,,,,,Page -,1,,,,,,
,,,,,,,,,,,,,.
,,,,,,,Customer CHEP,,,,,,
Branch Plant,Legacy Order Number,JDE Order Number,JDE BOL#,Customer PO#,Pallet Type,Description,Number,Number Of Pallets,Actual Ship Date,Receipt Date,,,
60,6009408,11842221,15879547,81955,CBP,CHEP BLOCK (MARK 55),4000445826,8,10/9/2023,,,,
60,6009409,11842223,15879566,81956,CBP,CHEP BLOCK (MARK 55),4000445826,4,10/9/2023,,,,
60,6009410,11842224,15879589,81957,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/9/2023,,,,
60,6009411,11842225,15879621,81958,CBP,CHEP BLOCK (MARK 55),4000445826,8,10/9/2023,,,,
60,6009412,11842226,15879641,81959,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/9/2023,,,,
60,6009413,11842227,15879662,81960,CBP,CHEP BLOCK (MARK 55),4000445826,11,10/9/2023,,,,
60,6009414,11842228,15879668,81961,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/9/2023,,,,
60,6009415,11842229,15879697,81962,CBP,CHEP BLOCK (MARK 55),4000445826,13,10/9/2023,,,,
60,6009416,11842230,15879709,81963,CBP,CHEP BLOCK (MARK 55),4000445826,8,10/9/2023,,,,
60,6009417,11842231,15879710,81964,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/9/2023,,,,
60,6009418,11842232,15879723,81965,CBP,CHEP BLOCK (MARK 55),4000445826,11,10/9/2023,,,,
60,6009419,11842233,15879736,81966,CBP,CHEP BLOCK (MARK 55),4000445826,10,10/9/2023,,,,
60,6009421,11842235,15879791,81968,CBP,CHEP BLOCK (MARK 55),4000445826,14,10/10/2023,,,,
60,6009422,11842236,15879792,81969,CBP,CHEP BLOCK (MARK 55),4000445826,13,10/10/2023,,,,
60,6009423,11842237,15879793,81970,CBP,CHEP BLOCK (MARK 55),4000445826,15,10/10/2023,,,,
60,6009424,11842238,15879391,81971,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/9/2023,,,,
60,6009425,11842239,15879794,81972,CBP,CHEP BLOCK (MARK 55),4000445826,13,10/10/2023,,,,
60,6009426,11842240,15879806,81973,CBP,CHEP BLOCK (MARK 55),4000445826,14,10/10/2023,,,,
60,6009433,11842823,15879828,81978,CBP,CHEP BLOCK (MARK 55),4000445826,6,10/10/2023,,,,
60,6009434,11842824,15879844,81979,CBP,CHEP BLOCK (MARK 55),4000445826,2,10/10/2023,,,,
60,6009435,11842830,15879848,81980,CBP,CHEP BLOCK (MARK 55),4000445826,1,10/10/2023,,,,
60,6009438,11842832,15879875,81982,CBP,CHEP BLOCK (MARK 55),4000445826,5,10/10/2023,,,,
60,6009440,11842834,15879912,81983,CBP,CHEP BLOCK (MARK 55),4000445826,5,10/10/2023,,,,
60,6009442,11842839,15879974,81985,CBP,CHEP BLOCK (MARK 55),4000445826,1,10/10/2023,,,,
60,6009443,11842840,15879975,81986,CBP,CHEP BLOCK (MARK 55),4000445826,15,10/10/2023,,,,
60,6009444,11842841,15879976,81987,CBP,CHEP BLOCK (MARK 55),4000445826,9,10/10/2023,,,,
60,6009444,11842841,15879976,81987,CXY,CHEP CHEMICAL PALLET,4000445826,2,10/10/2023,,,,
60,6009445,11842843,15880079,81988,CBP,CHEP BLOCK (MARK 55),4000445826,7,10/10/2023,,,,
60,6009445,11842843,15880079,81988,CXY,CHEP CHEMICAL PALLET,4000445826,2,10/10/2023,,,,
