Customer Name,Ventura Foods Fort Worth Plant #60
Address,1100 Defiel Road,Saginaw
Contact,Maxine Baker
GLID (Payer) / GLID (Sold To),6100788687,6100788687
Invoice Number,5018365806
Invoice Date,25.11.2023
Invoice Period - From/To,19.11.2023,25.11.2023
Period Days,7
,

Product Name,Product Code,Paying Opening Balance,Paying Closing Balance,Product Days,,,,
48x 40 CHEP Pallets,04001,13965,13817,97464.,,,,


UMI,Product Code,Sender Global Id,Sender External Code,Sender Name,Sender Town,Sender Country,Receiver Global Id,Receiver External Code,Receiver Name,Receiver Town,Receiver Country,Quantity,Transaction Status,Reason Code,Reason Description,Reference1,Reference2,Reference3,Date of Notification,Movement Date,Pricing Date,Transaction Type,Corr/Rev,,,,,,,,,,,,,,
02023139608986,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,1,C,,,6603574800242,06031512,83106,22.11.2023,21.11.2023,21.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139608985,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,3,C,,,6603574800241,06031511,83104,22.11.2023,21.11.2023,21.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139608984,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,3,C,,,6603574800240,06031509,83101,22.11.2023,21.11.2023,21.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139608982,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,11,C,,,6603574800239,06031505,83098,22.11.2023,21.11.2023,21.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139608981,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,7,C,,,6603574800238,06031503,83065,22.11.2023,21.11.2023,21.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139608980,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,1,C,,,6603574800237,06031502,83181,22.11.2023,21.11.2023,21.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139608979,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,8,C,,,6603574800236,06031500,83097,22.11.2023,21.11.2023,21.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140137616,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,8,C,,,6603575100011,06031559,83187,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121780,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,9,C,,,6603575000198,06031558,83186,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121779,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6,C,,,6603575000197,06031557,83185,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121778,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603575000196,06031556,83184,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121777,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,8,C,,,6603575000195,06031555,83180,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121776,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,3,C,,,6603575000194,06031553,83179,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121775,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6,C,,,6603575000193,06031552,83178,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121774,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,11,C,,,6603575000192,06031550,83176,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121773,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,15,C,,,6603575000191,06031549,83175,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121772,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,7,C,,,6603575000190,06031548,83174,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121771,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,18,C,,,6603575000189,06031547,83172,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121770,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,11,C,,,6603575000188,06031546,83173,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121769,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603575000187,06031544,83170,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121768,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6,C,,,6603575000186,06031543,83169,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121767,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,11,C,,,6603575000185,06031542,83167,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121766,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,2,C,,,6603575000184,06031541,83165,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121763,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,14,C,,,6603575000183,06031540,83166,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121762,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,12,C,,,6603575000182,06031538,83164,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121761,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,13,C,,,6603575000181,06031537,83163,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121760,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,9,C,,,6603575000180,06031536,83161,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121759,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,4,C,,,6603575000179,06031535,83099,23.11.2023,22.11.2023,22.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139559596,04001,USGA,,BirchStone  Inc DBA,Dallas,,6100788687,,Ventura Foods Fort Worth Plant,Saginaw,US,540,C,,,3695090221,PO 9597858,,21.11.2023,21.11.2023,21.11.2023,Service Ctr Issue,,,,,,,,,,,,,,,
