Customer Name,Ventura Foods Fort Worth Plant #60
Address,1100 Defiel Road,Saginaw
Contact,
GLID (Payer) / GLID (Sold To),6100788687,6100788687
Invoice Number,5018231913
Invoice Date,07.10.2023
Invoice Period - From/To,01.10.2023,07.10.2023
Period Days,7
,

Product Name,Product Code,Paying Opening Balance,Paying Closing Balance,Product Days,,,,
48x 40 CHEP Pallets,04001,13225,12480,91620.,,,,


UMI,Product Code,Sender Global Id,Sender External Code,Sender Name,Sender Town,Sender Country,Receiver Global Id,Receiver External Code,Receiver Name,Receiver Town,Receiver Country,Quantity,Transaction Status,Reason Code,Reason Description,Reference1,Reference2,Reference3,Date of Notification,Movement Date,Pricing Date,Transaction Type,Corr/Rev,,,,,,,,,,,,,,
02023119508368,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,3,C,,,6603560300199,06030332,81794,06.10.2023,04.10.2023,04.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023119508367,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6,C,,,6603560300200,06030334,81798,06.10.2023,04.10.2023,04.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023119508366,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,8,C,,,6603560300201,06030335,81796,06.10.2023,04.10.2023,04.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023119508365,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,12,C,,,6603560300202,06030336,81799,06.10.2023,04.10.2023,04.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023119023400,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,15,C,,,6603559900275,06030300,81753,05.10.2023,04.10.2023,04.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023119023399,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603559900276,06030301,81801,05.10.2023,04.10.2023,04.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023119023398,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603559900277,06030302,81769,05.10.2023,04.10.2023,04.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023119023397,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,8,C,,,6603559900278,06030303,81770,05.10.2023,04.10.2023,04.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023119023396,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6,C,,,6603559900279,06030307,81771,05.10.2023,04.10.2023,04.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023119023395,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,19,C,,,6603559900280,06030308,81772,05.10.2023,04.10.2023,04.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
